Date,Nifty close,Change,Nifty (n-1) close,20DMA,Nifty - 20DMA,Nifty - 20DMA squared,20DMA crossing,10D MA change,Range,ATR,OI change,COI change,PCR TW,RSI,FII net,DII net,FII + DII net,PE,10D MA FII net,10D MA DII net,Range between Max Ois,PCR TW change,PE change,Up streak,Down streak,Up,Down,Up 2.17%,Down 2.07%,Up 1.11% to 2.17%,Down 1.01% to 2.07%,Up upto 1.11%,Down upto 1.01%,Classification
09-03-2022,16594.9,249.55,16013.45,16878.24524,-532.8952381,283977.3348,0,-74.685,424.7,364.0285,1500,7185,0.73,33.90,-4818.71,3275.94,-1542.77,21.01,-5734.257,4684.967,800,0.209961943,0.42,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
10-03-2022,16630.45,35.55,16345.35,16846.25238,-251.352381,63178.01941,0,-46.835,309,367.4585,1289,690,0.63,39.13,-1981.15,945.71,-1035.44,21.34,-5590.656,4477.101,500,-0.103810615,0.33,3,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
11-03-2022,16871.3,240.85,16594.9,16806.56905,-176.1190476,31017.91893,0,38.25,221.45,357.1692,-9677,-5197,0.72,40.13,-2263.9,1686.85,-577.05,21.38,-5172.222,3879.011,500,0.09673504,0.04,4,0,1,0,0,0,0,0,1,0,Down to 1SD
14-03-2022,16663,-208.3,16630.45,16771.59048,99.70952381,9941.989138,1,21.29,280,351.7607,11165,13725,0.9,45.13,-176.52,1098.62,922.1,21.69,-4742.804,3557.049,500,0.181026438,0.31,5,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
15-03-2022,16975.35,312.35,16871.3,16737.69762,-74.69761905,5579.734291,0,-13.09,371.15,353.2599,12952,14473,0.63,43.93,-1249.74,98.25,-1151.49,21.42,-4472.931,3152.592,500,-0.275858042,-0.27,0,1,0,1,0,0,0,1,0,0,Down 1SD to 2SD
16-03-2022,17287.05,311.7,16663,16744.00952,231.3404762,53518.41592,1,36.94,147.05,351.2342,-47217,-47146,1.09,48.85,311.99,772.55,1084.54,21.82,-4007.838,2923.677,1000,0.463772007,0.4,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
17-03-2022,17117.6,-169.45,16975.35,16740.89524,546.1547619,298285.024,0,78.9,168.55,352.5211,-7097,9275,1.09,65.66,2800.14,-678.45,2121.69,22.23,-3063.359,2375.908,500,0,0.41,2,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
21-03-2022,17315.5,197.9,17287.05,16731.15238,386.447619,149341.7623,0,87.225,254.75,345.6946,-1365,-1053,0.54,57.46,-2962.12,252.91,-2709.21,22.01,-2596.469,1927.3,500,-0.553116232,-0.22,0,1,0,1,0,0,0,0,0,1,Down to 1SD
22-03-2022,17245.65,-69.85,17117.6,16731.67143,583.8285714,340855.8008,0,145.235,325.8,344.4378,8626,7090,0.76,58.31,384.48,-602.05,-217.57,22.26,-1809.813,1333.992,800,0.223992018,0.25,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
23-03-2022,17222.75,-22.9,17315.5,16730.2119,515.4380952,265676.43,0,123.22,240.9,337.178,-12236,-8721,0.54,60.59,481.33,-294.23,187.1,22.17,-947.42,655.61,500,-0.218559451,-0.09,0,1,0,1,0,0,0,0,0,1,Down to 1SD
